City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
69,Grand Gaube,MU,2020-01-02 19:32:43,-20.01,57.66,78.8,88,75,3.36
70,East London,ZA,2020-01-02 19:32:43,-33.02,27.91,71.6,88,75,10.29
71,Hasaki,JP,2020-01-02 19:32:43,35.73,140.83,35.6,80,20,3.36
72,Kirkwall,GB,2020-01-02 19:32:44,58.98,-2.96,42.8,93,93,17.22
73,Port Alfred,ZA,2020-01-02 19:32:25,-33.59,26.89,68.0,91,99,14.99
74,Klaksvik,FO,2020-01-02 19:32:44,62.23,-6.59,37.4,64,100,28.86
75,Guarapari,BR,2020-01-02 19:32:44,-20.67,-40.5,87.8,62,75,12.75
76,Laguna,BZ,2020-01-02 19:32:45,16.17,-88.94,84.2,74,20,9.17
77,Sal Rei,CV,2020-01-02 19:32:45,16.18,-22.92,75.2,60,100,14.99
78,Bathsheba,BB,2020-01-02 19:32:45,13.22,-59.52,84.2,58,40,17.22
79,Touros,BR,2020-01-02 19:32:45,-5.2,-35.46,86.0,62,75,16.11
80,Gigmoto,PH,2020-01-02 19:32:45,13.78,124.39,80.22,80,100,26.93
81,Bambous Virieux,MU,2020-01-02 19:32:46,-20.34,57.76,78.8,88,75,3.36
82,Cidreira,BR,2020-01-02 19:32:46,-30.17,-50.22,73.78,76,54,23.62
83,New Norfolk,AU,2020-01-02 19:32:46,-42.78,147.06,60.8,72,75,3.36
84,Torbay,CA,2020-01-02 19:32:46,47.66,-52.73,34.0,83,90,17.22
85,Atuona,PF,2020-01-02 19:32:47,-9.8,-139.03,80.65,78,0,13.53
86,Aksarka,RU,2020-01-02 19:32:47,66.56,67.8,-2.56,92,6,9.95
87,Pontes E Lacerda,BR,2020-01-02 19:32:47,-15.23,-59.33,80.56,91,100,3.87
88,Port Hedland,AU,2020-01-02 19:32:33,-20.31,118.58,80.6,78,33,3.36
89,Airai,TL,2020-01-02 19:32:48,-8.93,125.41,67.78,96,100,1.77
90,Abha,SA,2020-01-02 19:32:48,18.22,42.5,60.8,38,0,0.76
91,Broome,GB,2020-01-02 19:32:48,52.47,1.45,51.01,81,75,14.99
92,Ribeira Grande,PT,2020-01-02 19:32:30,38.52,-28.7,57.2,67,20,8.05
93,Mulege,MX,2020-01-02 19:32:49,26.88,-111.98,66.04,49,0,6.44
94,Tiksi,RU,2020-01-02 19:32:50,71.64,128.87,-19.61,61,0,3.69
95,Beringovskiy,RU,2020-01-02 19:32:50,63.05,179.32,-11.9,81,0,14.7
96,Mar Del Plata,AR,2020-01-02 19:28:04,-46.43,-67.52,88.34,18,46,20.27
97,Pevek,RU,2020-01-02 19:32:50,69.7,170.27,2.08,62,100,13.33
98,Sile,US,2020-01-02 19:32:50,35.56,-106.37,37.99,79,90,20.8
99,Saint-Joseph,FR,2020-01-02 19:32:51,43.56,6.97,48.2,87,100,4.7
100,Kavieng,PG,2020-01-02 19:31:25,-2.57,150.8,82.98,74,35,3.98
101,Asheboro,US,2020-01-02 19:28:50,35.71,-79.81,53.01,66,90,6.93
102,Nurota,UZ,2020-01-02 19:32:51,40.56,65.69,33.8,88,100,6.93
103,Cabo San Lucas,MX,2020-01-02 19:31:43,22.89,-109.91,73.0,47,0,8.99
104,Kahului,US,2020-01-02 19:32:52,20.89,-156.47,75.2,69,40,8.16
105,Nago,IT,2020-01-02 19:32:52,45.88,10.89,42.01,100,0,1.12
106,Harlingen,NL,2020-01-02 19:32:53,53.18,5.41,43.0,93,90,17.22
107,Saint-Augustin,CA,2020-01-02 19:32:53,45.63,-73.98,39.0,94,75,2.24
108,Markova,RU,2020-01-02 19:32:53,52.21,104.21,14.0,85,98,6.71
109,Komsomolskiy,RU,2020-01-02 19:32:54,67.55,63.78,1.62,95,99,11.7
110,Castro,CL,2020-01-02 19:32:54,-42.48,-73.76,75.2,57,40,8.05
111,Waddan,LY,2020-01-02 19:32:54,29.16,16.14,49.42,66,10,7.27
112,Homa Bay,KE,2020-01-02 19:32:55,-0.53,34.45,73.4,78,40,8.05
